# t x y z vx vy vz m
0.000 -34.51228 -20.22133 -0.00000 0.00000 0.00000 0.00000 1.000e+04 
10.000 56.65348 18.59502 -0.00001 -0.00118 0.00262 0.00000 1.000e+04 
20.001 -39.70611 15.83357 -0.00000 -0.00126 -0.00010 -0.00000 1.000e+04 
30.001 56.50835 -7.23984 0.00006 -0.00055 0.00268 0.00000 1.000e+04 
40.000 -21.55800 43.62597 -0.00002 -0.00202 0.00061 -0.00000 1.000e+04 
50.000 41.92243 -30.92234 -0.00000 0.00013 0.00241 -0.00000 1.000e+04 
60.000 6.17367 54.18004 -0.00003 -0.00216 0.00141 0.00000 1.000e+04 
70.000 13.47373 -43.83611 -0.00006 0.00065 0.00167 -0.00000 1.000e+04 
80.000 32.39006 48.71367 -0.00000 -0.00193 0.00205 0.00000 1.000e+04 
90.000 -20.45739 -35.37757 -0.00004 0.00052 0.00052 -0.00000 1.000e+04 
100.000 50.95426 31.57222 0.00005 -0.00149 0.00247 0.00000 1.000e+04 
110.000 -40.36910 -4.38014 0.00001 -0.00057 -0.00019 -0.00000 1.000e+04 
120.000 58.29871 7.37371 0.00000 -0.00091 0.00268 0.00000 1.000e+04 
130.000 -33.64444 30.38060 -0.00005 -0.00170 0.00018 -0.00000 1.000e+04 
140.000 51.74459 -18.59173 -0.00013 -0.00024 0.00260 -0.00000 1.000e+04 
150.001 -9.34467 50.71669 0.00017 -0.00215 0.00098 0.00000 1.000e+04 
160.001 30.38760 -38.73534 -0.00012 0.00041 0.00214 0.00000 1.000e+04 
170.001 18.64744 53.50256 -0.00001 -0.00209 0.00172 0.00000 1.000e+04 
180.001 -2.31782 -43.09663 0.00002 0.00071 0.00117 -0.00000 1.000e+04 
190.001 41.89860 42.21520 -0.00024 -0.00175 0.00226 0.00000 1.000e+04 
200.001 -32.54776 -23.29830 -0.00002 0.00011 0.00007 -0.00000 1.000e+04 
210.001 55.82681 21.25485 0.00017 -0.00124 0.00260 0.00000 1.000e+04 
220.001 -40.46178 12.51041 -0.00006 -0.00115 -0.00013 -0.00000 1.000e+04 
230.001 57.11010 -4.42012 0.00033 -0.00062 0.00269 -0.00000 1.000e+04 
240.001 -24.03956 41.75888 -0.00019 -0.00198 0.00053 -0.00000 1.000e+04 
250.001 43.97587 -28.74081 -0.00017 0.00006 0.00246 -0.00000 1.000e+04 
260.001 3.26367 54.05467 0.00010 -0.00217 0.00133 0.00000 1.000e+04 
270.001 16.50410 -43.30280 -0.00012 0.00062 0.00176 0.00000 1.000e+04 
280.001 30.07774 49.95042 0.00021 -0.00196 0.00199 -0.00000 1.000e+04 
290.001 -17.77043 -37.06996 0.00002 0.00058 0.00062 0.00000 1.000e+04 
300.001 49.56471 33.67476 -0.00008 -0.00154 0.00244 -0.00000 1.000e+04 
310.001 -39.71962 -7.52944 0.00006 -0.00046 -0.00017 0.00000 1.000e+04 
320.001 58.06666 9.99049 -0.00015 -0.00097 0.00267 0.00000 1.000e+04 
330.001 -35.29341 27.69858 0.00011 -0.00162 0.00011 -0.00000 1.000e+04 
340.001 52.97257 -15.94559 0.00013 -0.00031 0.00263 0.00000 1.000e+04 
350.001 -12.26840 49.58920 0.00002 -0.00213 0.00090 -0.00000 1.000e+04 
360.001 33.12430 -37.09611 0.00016 0.00035 0.00221 -0.00000 1.000e+04 
370.001 15.78826 54.10070 -0.00018 -0.00211 0.00165 -0.00000 1.000e+04 
380.001 0.91539 -43.57973 -0.00002 0.00072 0.00128 -0.00000 1.000e+04 
390.001 39.96368 43.94756 0.00001 -0.00179 0.00222 0.00000 1.000e+04 
400.001 -30.65579 -25.80579 -0.00012 0.00021 0.00014 -0.00000 1.000e+04 
410.001 54.88360 23.69224 0.00031 -0.00130 0.00257 0.00000 1.000e+04 
420.001 -40.96818 9.30205 -0.00019 -0.00104 -0.00016 0.00000 1.000e+04 
430.001 57.52523 -1.71670 0.00003 -0.00068 0.00269 -0.00000 1.000e+04 
440.001 -26.29850 39.84151 -0.00007 -0.00193 0.00045 0.00000 1.000e+04 
450.001 45.78385 -26.55058 -0.00019 0.00000 0.00250 0.00000 1.000e+04 
460.001 0.41490 53.75818 0.00024 -0.00217 0.00126 0.00000 1.000e+04 
470.001 19.53726 -42.49737 -0.00014 0.00059 0.00185 0.00000 1.000e+04 
480.001 27.32395 51.16962 0.00029 -0.00200 0.00193 -0.00000 1.000e+04 
490.001 -14.51417 -38.79769 -0.00013 0.00063 0.00074 0.00000 1.000e+04 
500.001 47.83339 36.05571 0.00013 -0.00159 0.00240 -0.00000 1.000e+04 
510.001 -38.72556 -11.03673 -0.00007 -0.00033 -0.00014 -0.00000 1.000e+04 
520.001 57.70528 12.84244 -0.00005 -0.00104 0.00266 -0.00000 1.000e+04 
530.001 -36.87113 24.73509 0.00002 -0.00153 0.00005 0.00000 1.000e+04 
540.001 54.09620 -13.35657 -0.00020 -0.00038 0.00265 0.00000 1.000e+04 
550.001 -14.90909 48.36796 0.00032 -0.00210 0.00083 0.00000 1.000e+04 
560.001 35.55538 -35.47366 0.00008 0.00030 0.00227 0.00000 1.000e+04 
570.001 13.08535 54.44321 -0.00017 -0.00213 0.00159 -0.00000 1.000e+04 
580.001 4.17720 -43.84814 0.00016 0.00071 0.00139 -0.00000 1.000e+04 
590.001 37.87986 45.55780 -0.00035 -0.00183 0.00217 0.00000 1.000e+04 
600.001 -28.39351 -28.41996 -0.00018 0.00030 0.00023 -0.00000 1.000e+04 
610.001 53.87844 26.05855 0.00087 -0.00135 0.00255 0.00000 1.000e+04 
620.001 -41.23535 5.97958 -0.00069 -0.00093 -0.00018 -0.00000 1.000e+04 
630.001 57.78812 0.88836 0.00145 -0.00074 0.00269 -0.00000 1.000e+04 
640.001 -28.58778 37.49371 -0.00107 -0.00187 0.00038 -0.00000 1.000e+04 
650.001 47.57478 -24.23285 0.00136 -0.00007 0.00254 -0.00000 1.000e+04 
660.001 -2.77705 53.06148 -0.00137 -0.00216 0.00118 -0.00000 1.000e+04 
670.001 23.05768 -41.44809 0.00065 0.00054 0.00195 -0.00000 1.000e+04 
680.001 24.37080 52.22813 -0.00099 -0.00203 0.00186 -0.00000 1.000e+04 
690.001 -10.68422 -40.47128 0.00037 0.00067 0.00088 -0.00000 1.000e+04 
700.001 45.80544 38.44827 -0.00067 -0.00165 0.00236 0.00000 1.000e+04 
710.001 -37.14654 -15.15421 0.00012 -0.00018 -0.00009 -0.00000 1.000e+04 
720.001 57.13963 15.95046 0.00062 -0.00111 0.00264 0.00000 1.000e+04 
730.001 -38.44581 20.94077 -0.00038 -0.00141 -0.00002 -0.00000 1.000e+04 
740.001 55.26645 -10.22787 0.00062 -0.00046 0.00267 -0.00000 1.000e+04 
750.001 -18.09134 46.56933 -0.00017 -0.00207 0.00073 0.00000 1.000e+04 
760.001 38.42249 -33.34136 -0.00010 0.00023 0.00234 -0.00000 1.000e+04 
770.001 9.75743 54.62978 -0.00147 -0.00214 0.00151 0.00000 1.000e+04 
780.001 8.23703 -43.90272 0.00026 0.00070 0.00152 -0.00000 1.000e+04 
790.001 35.21877 47.34769 0.00029 -0.00188 0.00211 0.00000 1.000e+04 
